Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 31, 2021","Jan. 31, 2021",Run,181,2.14634,2860,22.2003,1.7198,2.70267,34.8878,0,7199,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5430483619
"Jan. 29, 2021","Jan. 29, 2021",Run,91,1.01372,1574,25.8618,4.36454,2.32003,13.7472,0,3934,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5423099329
"Jan. 27, 2021","Jan. 27, 2021",Run,81,0.959114,1311,22.786,3.08109,2.6332,19.4737,0,3296,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5411193877
"Jan. 27, 2021","Jan. 26, 2021",Run,84,1.00693,1181,19.5346,1.19565,3.07147,50.1818,0,2993,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5411109304
"Jan. 24, 2021","Jan. 24, 2021",Run,167,2.0047,2364,19.6541,2.51531,3.0528,23.8539,0,5989,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5394434761
"Jan. 19, 2021","Jan. 19, 2021",Run,92,1.07301,1168,18.1518,4.46693,3.30546,13.432,0,2973,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5373831379
"Jan. 18, 2021","Jan. 18, 2021",Run,216,1.86157,1122,10.0359,3.45736,5.97856,17.3543,0,2994,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5369765404
"Jan. 17, 2021","Jan. 17, 2021",Run,413,3.38462,2356,11.6022,1.04532,5.17142,57.3984,0,6200,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5363785675
"Jan. 15, 2021","Jan. 15, 2021",Run,181,1.58016,918,9.6727,0.327689,6.20302,183.1,0,2459,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5356097179
"Jan. 6, 2021","Jan. 6, 2021",Run,231,1.98783,1197,10.0309,0.935425,5.98154,64.142,0,3195,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5299993456
"Jan. 2, 2021","Jan. 2, 2021",Run,347,3.01051,1775,9.82246,1.02906,6.10845,58.3057,0,4748,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5249953204
"Dec. 24, 2020","Dec. 24, 2020",Run,345,3.15618,1529,8.07064,0.806143,7.43436,74.4285,0,4184,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5193036922
"Dec. 24, 2020","Dec. 15, 2020",Run,155,1.84101,2093,18.9355,1.61179,3.16865,37.2257,0,5313,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5192970385
"Dec. 15, 2020","Dec. 9, 2020",Run,14,0.174029,213,20.2046,5.30162,2.96962,11.3173,0,538,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5139083758
"Nov. 15, 2020","Nov. 15, 2020",Run,234,2.02028,1206,9.94396,0.352564,6.03381,170.182,0,3222,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4954452037
"Oct. 25, 2020","Oct. 25, 2020",Run,223,2.00209,1076,8.94608,1.14808,6.70685,52.2614,0,2908,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4790372026
"Oct. 20, 2020","Oct. 20, 2020",Run,119,1.27413,1116,14.6023,3.8608,4.10894,15.5408,0,2882,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4776812593
"Oct. 19, 2020","Oct. 19, 2020",Run,208,1.7757,1289,12.088,3.92513,4.96361,15.2861,0,3379,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4773821002
"Oct. 12, 2020","Oct. 12, 2020",Run,108,0.898413,590,10.9445,0.991229,5.48218,60.5309,0,1561,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4755157021
"Oct. 12, 2020","Sept. 27, 2020",Run,605,6.90844,10371,25.02,1.7341,2.39808,34.6002,0,25958,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4755157180
"Sept. 9, 2020","Sept. 9, 2020",Run,90,1.01061,1559,25.7032,9.80439,2.33434,6.11971,0,3897,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4661420803
"Sept. 1, 2020","Sept. 1, 2020",Run,15,0.133115,297,36.8942,6.23025,1.62627,9.63043,0,733,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4638624217
"Aug. 26, 2020","Aug. 26, 2020",Run,117,0.996006,614,10.2559,3.32744,5.8503,18.0319,0,1635,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4623032737
"Aug. 24, 2020","Aug. 24, 2020",Run,111,0.997907,524,8.74558,3.82242,6.86061,15.6969,0,1420,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4617145822
"Aug. 23, 2020","Aug. 23, 2020",Run,107,0.997007,467,7.80775,0.879796,7.68468,68.1976,0,1283,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4614245452
"Aug. 22, 2020","Aug. 22, 2020",Run,225,1.99594,1119,9.33769,2.36968,6.42558,25.3199,0,3010,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4610692156
"Aug. 22, 2020","Aug. 20, 2020",Run,63,0.598005,1231,34.2336,5.47702,1.75266,10.9549,0,3044,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4610692354
"Aug. 18, 2020","Aug. 18, 2020",Run,60,0.587862,1105,31.2473,3.91947,1.92017,15.3082,0,2741,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4599683476
"Aug. 17, 2020","Aug. 17, 2020",Run,75,0.89055,1213,22.6447,3.18261,2.64962,18.8525,0,3050,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4595374213
"Aug. 16, 2020","Aug. 16, 2020",Run,231,2.00124,1193,9.92993,4.64365,6.04234,12.9209,0,3187,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4593102724
"Aug. 15, 2020","Aug. 15, 2020",Run,429,3.50367,2413,11.4728,4.94631,5.22975,12.1302,0,6356,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4592097832
"Aug. 14, 2020","Aug. 14, 2020",Run,167,1.37937,966,11.662,3.67757,5.14491,16.3151,0,2541,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4587861349
"Aug. 12, 2020","Aug. 12, 2020",Run,227,1.87819,1250,11.0806,0.543569,5.41487,110.382,0,3303,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4582231180
"Aug. 11, 2020","Aug. 11, 2020",Run,218,1.80548,1196,11.0321,1.05181,5.4387,57.0444,0,3162,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4579016167
"Aug. 8, 2020","Aug. 8, 2020",Run,191,1.66367,1254,12.5583,6.44125,4.77771,9.31496,0,3277,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4571392246
"Aug. 6, 2020","Aug. 6, 2020",Run,266,2.26746,1649,12.1171,4.30086,4.9517,13.9507,0,4323,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4565533861
"Aug. 6, 2020","Aug. 4, 2020",Run,108,1.2723,1420,18.5942,8.90728,3.22682,6.73606,0,3609,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4565533996
"Aug. 1, 2020","Aug. 1, 2020",Run,61,0.64276,1074,24.5505,3.8068,2.44395,15.7613,0,2676,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4551351760
"July 29, 2020","July 29, 2020",Run,218,1.80592,1196,11.0344,5.77815,5.43753,10.3839,0,3162,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4542055180
"July 22, 2020","July 22, 2020",Walk,245,2.02231,1352,11.1444,0.42424,5.38389,141.429,0,3366,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4521014236
"July 19, 2020","July 19, 2020",Walk,230,1.94044,1232,10.5781,2.54555,5.67209,23.5705,0,3161,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4513112524
"July 16, 2020","July 16, 2020",Walk,351,2.9963,2179,12.1182,2.45486,4.95124,24.4413,0,5174,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4504719472
"July 12, 2020","July 12, 2020",Walk,85,0.720313,458,10.5858,5.33983,5.66798,11.2363,0,1174,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4492341991
"July 12, 2020","July 12, 2020",Walk,174,1.52596,880,9.60252,4.08537,6.24836,14.6866,0,2392,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4492324606
"July 9, 2020","July 9, 2020",Walk,30,0.267251,146,9.10337,0.759413,6.59097,79.0084,0,410,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4484312110
"July 5, 2020","July 5, 2020",Walk,234,1.99706,1228,10.2396,1.4149,5.8596,42.4057,0,3211,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4471642561
"June 30, 2020","June 30, 2020",Walk,338,3.1752,1466,7.69519,1.60494,7.79708,37.3845,0,4591,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4455721504
"June 28, 2020","June 28, 2020",Walk,436,3.60768,2535,11.7047,2.50186,5.12613,23.9822,0,6136,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4449979840
"June 24, 2020","June 24, 2020",Walk,101,0.865318,633,12.1792,6.39103,4.92645,9.38816,0,1498,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4436334736
"June 24, 2020","June 21, 2020",Walk,144,1.35659,2840,34.8917,7.39893,1.71961,8.10929,0,4304,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4436334961
"June 19, 2020","June 19, 2020",Walk,69,0.814735,924,18.8964,7.94255,3.17521,7.55425,0,1758,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4419874780
"June 19, 2020","June 11, 2020",Run,342,2.87965,1842,10.6552,2.07982,5.63104,28.8486,0,4886,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4419816682
"June 11, 2020","May 29, 2020",Run,215,2.55616,2924,19.0232,4.67249,3.15405,12.8411,0,7420,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4391431102
"May 29, 2020","May 29, 2020",Run,205,2.47004,2970,20.0373,7.32211,2.99441,8.19436,0,7516,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4346033293
"May 29, 2020","May 23, 2020",Run,141,1.37518,2659,32.2287,3.34621,1.86169,17.9307,0,6589,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4346034163
"May 17, 2020","May 17, 2020",Run,203,2.42522,3141,21.5094,6.93505,2.78947,8.6517,0,7917,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4298488522
"May 10, 2020","May 10, 2020",Run,235,2.00984,1470,12.1917,5.74627,4.92136,10.4415,0,3851,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4271290630
