recommendation,source_info,source_package_name,binning_data,create_time,deviceuuid,modify_sh_ver,active_time,speed,achievement,healthy_step,create_sh_ver,datauuid,walk_step_count,run_step_count,day_time,calorie,distance,step_count,update_time,pkg_name,
6000,,com.sec.android.app.shealth,46275ded-8f19-45e1-9329-43312689a4e5.binning_data,"05/05/2024, 6:51:44 AM",xtfbSOmziO,,6283946,2.527777,46275ded-8f19-45e1-9329-43312689a4e5.achievement,0,,46275ded-8f19-45e1-9329-43312689a4e5,11439,25,1714867200000,400.677490,8635.037109,11464,"05/05/2024, 1:35:14 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,ba8148aa-179b-4fa7-8008-ecae3db69fa8.binning_data,"05/06/2024, 2:08:09 AM",VfS0qUERdZ,,8442921,1.200377,ba8148aa-179b-4fa7-8008-ecae3db69fa8.achievement,0,,ba8148aa-179b-4fa7-8008-ecae3db69fa8,13204,90,1714953600000,491.485260,10134.686523,13294,"05/07/2024, 8:29:21 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,3ab3de8d-f50b-4208-a95e-58c6aa04a1b9.binning_data,"05/06/2024, 6:43:55 AM",HuT3voPSBy,,5585000,1.861008,3ab3de8d-f50b-4208-a95e-58c6aa04a1b9.achievement,0,,3ab3de8d-f50b-4208-a95e-58c6aa04a1b9,7023,0,1714953600000,281.195557,5455.951172,7023,"05/07/2024, 2:12:23 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,369599e0-8422-4cc6-a702-aaf0f024d96b.binning_data,"05/06/2024, 6:45:27 AM",xtfbSOmziO,,4967144,2.297193,369599e0-8422-4cc6-a702-aaf0f024d96b.achievement,0,,369599e0-8422-4cc6-a702-aaf0f024d96b,8907,101,1714953600000,319.941010,6797.127930,9008,"05/07/2024, 8:29:21 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,e978e3ae-3d66-4b0a-a3f2-c228b77452bb.binning_data,"05/07/2024, 2:12:19 AM",VfS0qUERdZ,,12848259,1.187397,e978e3ae-3d66-4b0a-a3f2-c228b77452bb.achievement,0,,e978e3ae-3d66-4b0a-a3f2-c228b77452bb,20630,2,1715040000000,735.445801,15255.981445,20632,"05/08/2024, 12:43:00 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,caf59a8f-79de-4099-bcf8-862326b6f79d.binning_data,"05/07/2024, 2:12:23 AM",HuT3voPSBy,,9700000,1.770539,caf59a8f-79de-4099-bcf8-862326b6f79d.achievement,0,,caf59a8f-79de-4099-bcf8-862326b6f79d,12873,0,1715040000000,491.690338,9581.472656,12873,"05/08/2024, 12:43:01 AM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,c9ee68dc-b3f5-4df9-bb1c-92c51e1ba26d.binning_data,"05/07/2024, 8:29:21 AM",xtfbSOmziO,,10281755,2.777778,c9ee68dc-b3f5-4df9-bb1c-92c51e1ba26d.achievement,0,,c9ee68dc-b3f5-4df9-bb1c-92c51e1ba26d,17800,2,1715040000000,624.492798,13248.500977,17802,"05/07/2024, 6:12:30 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,1f1bfb1a-34c9-45db-b106-7165a24b1c9e.binning_data,"05/08/2024, 3:43:14 AM",VfS0qUERdZ,,4672366,1.152673,1f1bfb1a-34c9-45db-b106-7165a24b1c9e.achievement,0,,1f1bfb1a-34c9-45db-b106-7165a24b1c9e,7209,8,1715126400000,262.280029,5385.710938,7217,"05/09/2024, 3:16:48 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,f76bdfeb-a465-4d2b-b30b-9e85a15b999f.binning_data,"05/08/2024, 6:43:54 AM",HuT3voPSBy,,2812000,2.152212,f76bdfeb-a465-4d2b-b30b-9e85a15b999f.achievement,0,,f76bdfeb-a465-4d2b-b30b-9e85a15b999f,3689,0,1715126400000,140.196259,2715.000000,3689,"05/08/2024, 3:44:01 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,051bbe1a-44c5-41ec-9bf3-acdd46848dd2.binning_data,"05/08/2024, 6:44:59 AM",xtfbSOmziO,,2476152,3.000000,051bbe1a-44c5-41ec-9bf3-acdd46848dd2.achievement,0,,051bbe1a-44c5-41ec-9bf3-acdd46848dd2,4476,10,1715126400000,157.830002,3384.579102,4486,"05/09/2024, 3:16:48 PM",com.sec.android.app.shealth,
6000,,com.sec.android.app.shealth,6dfcc24a-5d6d-4475-a0c9-77af46d438f1.binning_data,"05/09/2024, 6:43:22 AM",VfS0qUERdZ,,7378839,1.396275,6dfcc24a-5d6d-4475-a0c9-77af46d438f1.achievement,0,,6dfcc24a-5d6d-4475-a0c9-77af46d438f1,8991,3402,1715212800000,594.066528,10302.887695,12393,"05/09/2024, 8:16:25 PM",com.sec.android.app.shealth,
